video_id,title,publish_time,channelId,channel_title,category_id,trending_date,views,likes,comment_count,comments_disabled,ratings_disabled,description
ognHtTa693E,"HIGHLIGHTS Man City 4-1 Arsenal | De Bruyne (2), Stones, Haaland Goals | Premier League",2023-04-26T23:00:17Z,UCkzCjdRMrW2vXLx8mvPVLdQ,Man City,17,23.27.04,3464477,88013,3638,False,False,"Manchester City are two points off top spot in the Premier League after a storming 4-1 victory over leaders Arsenal at the Etihad Stadium.Kevin De Bruyne’s seventh minute strike gave Pep Guardiola’s side and a raucous City support an early boost before John Stones’ header on the stroke of half-time doubled the lead.De Bruyne made it three early in the second period with a measured stroke after turning the ball over in Arsenal’s half.The Belgian was supplied excellently by Erling Haaland for both of his goals.Arsenal defender Rob Holding claimed one back in the closing stages to give the visitors a flicker of hope.However, Haaland completed the scoring in added time by squeezing a left-footed finish under Aaron Ramsdale.It's the Norwegian's 33rd strike of the season and takes him to a 38-game Premier League record, surpassing Mo Salah's tally of 32 in 2017/18.The victory completes the league double over our title rivals and extends our excellent Premier League form to nine wins in our last ten matches.With seven games to go and two games in hand on Arsenal, the destiny of what would be a third successive Premier League title and five in the last six seasons is in our hands.SUBSCRIBE! http://www.youtube.com/subscription_center?add_user=mancityhttp://www.mancity.comhttp://www.facebook.com/mancityhttp://www.twitter.com/mancityhttp://www.instagram.com/mancityhttps://www.tiktok.com/@mancityAbout the Official Man City YouTube Channel:Here you will find all the latest videos from Manchester City, including, all Premier League goals, highlights, behind-the-scenes footage, training and much more.Get closer to the likes of Jack Grealish, Bunny Shaw, Kevin De Bruyne, Lauren Hemp, Erling Haaland, Riyad Mahrez, Ellie Roebuck Phil Foden, Esme Morgan and the rest of Pep Guardiola & Gareth Taylor's teams!"
Gf8JOmrmceU,HIGHLIGHTS | Manchester City vs Arsenal (4-1) | Premier League,2023-04-26T23:00:05Z,UCpryVRk_VDudG8SHXgWcG0w,Arsenal,17,23.27.04,1517521,16407,1776,False,False,"We saw our lead at the top of the Premier League cut to two points after second-placed Manchester City ran out winners at Etihad Stadium.Kevin De Bruyne opened the scoring just seven minutes in, before John Stones added a VAR-assisted second just before half-time, with the Belgian completing his brace nine minutes after the restart.Rob Holding would pull one back five minutes from the end, but Erling Haaland netted with virtually the last kick of the game to ensure our 10-match unbeaten run in the Premier League came to an end.The first half was one-way traffic as the hosts - on a six-match winning streak - tested us time and time again, and we soon found ourselves behind. Haaland held the ball up and found De Bruyne, who burst forward and switched the ball onto his right foot to arrow a low shot in the bottom corner past the outstretched arm of Aaron Ramsdale.The City duo were the main threat throughout the half, and the goalscorer would once again break through in similar fashion - but an excellent sliding block by Ben White prevented De Bruyne adding his second.Then began a personal battle between Ramsdale and Haaland, which started when the division’s leading marksman slipped between two defenders but scuffed at our number one, who then had to beat away a fierce volley by the Norwegian striker as City cranked up the pressure.Our only sight of goal in the first half arrived after 34 minutes, when Thomas Partey took aim from the edge of the box but failed to hit the target, and soon after, Haaland was at it again when he found space and burst forward but bent his effort wide of the post.He continued to keep Ramsdale busy, and five minutes before half-time Jack Grealish wriggled his way along the touchline and picked out Haaland, but Aaron made a good stop with his legs before hacking the loose ball away.It looked as though we would get into half-time trailing by just one, but then a heartbreaker arrived. In stoppage-time, De Bruyne sent a free-kick to the back post where Stones was waiting to head past Ramsdale, and after it was initially flagged offside, VAR intervened and sent us into the break 2-0 down.After the restart it was the same old story as Haaland and De Bruyne continued to be at the heart of all City’s most dangerous moments. The striker went one-on-one with Ramsdale and was once again denied - but despite that, it was virtually game over after 54 minutes.De Bruyne latched onto an under-hit Martin Odegaard pass and found Haaland, who picked the right time to play it back to his team-mate. He expertly controlled the pass and slipped the ball past Ramsdale to get his second of the night.We needed something quickly to give ourselves any glimmer of hope and Holding saw a shot deflect just wide after a goalmouth scramble, but after that, a skied Bukayo Saka free-kick and a shot across goal by substitute Eddie Nketiah failed to trouble Ederson.However we did pull one back with five minutes remaining when Leandro Trossard cut inside from the right and got into the box, and the ball fell into the path of Holding who produced a neat finish to beat City’s Brazilian keeper.But in the final seconds, Phil Foden teed up Haaland who finally got the better of Ramsdale to score his 33rd league goal of the season to round off a disappointing night that saw the gap at the top of the table reduced.#arsenal Enjoy match highlights, training and behind the scenes to get closer to the likes of Emile Smith Rowe, Bukayo Saka, Vivianne Miedema, Leah Williamson,Gabriel Jesus, Alex Zinchenko, Takehiro Tomiyasu, Kim Little, Gabriel Martinelli, Beth Mead, Aaron Ramsdale, Ben White, and more.Subscribe to the Official Arsenal YouTube Channel: https://arsn.al/youtubeFollow us on Facebook: https://arsn.al/facebookFollow us on Twitter: http://arsn.al/twitterFollow us on Instagram: http://arsn.al/instagramFollow us on TikTok: http://arsn.al/tiktokThis is the Official YouTube channel for Arsenal Football Club.For more match action, highlights and training videos, make sure you become a digital member and sign up to Arsenal Player. It's FREE and is the Home of the Game: https://arsn.al/arsenalplayerArsenal Football Club were formed in 1886 and amassed 13 League titles, 14 FA Cups. Some of the greatest players include: Thierry Henry, Dennis Bergkamp, Tony Adams, Ian Wright, Robert Pires, Liam Brady, Patrick Vieira, Cliff Bastin and Charlie George."
qDObINWWuQM,AFRICAN HOME: PAYBACK,2023-04-23T20:38:50Z,UCUocOQtoaHPuT0K8lME559A,SamSpedy,23,23.27.04,868883,30086,2148,False,False,"In This Episode, Papa Ojo Hosted His Boss's Daughter, But Mama Ojo Wasn't Cool With It, And Had To PAYBACK! What Did She Do? Find Out!SECOND CHANNEL - https://www.youtube.com/channel/UCEuMxZxgHqrVXzwd5julx8QFollow me on Instagram: https://www.instagram.com/samspedy/https://linktr.ee/SamSpedySong Store LinksAfrican Home PandemoniumiTunes: http://itunes.apple.com/album/id1530382366?ls=1&app=itunesApple Music: http://itunes.apple.com/album/id/1530382366Spotify: https://open.spotify.com/album/0nJNPynLV5OCZ0ZIREVc8OAfrican Home WahalaApple Music:https://music.apple.com/ua/album/african-home-wahala/1623310357?i=1623310366Spotify: https://open.spotify.com/track/4Wrvda3w8hP0XMkFXOpVKH?si=86545e1c4b8d44c0Thanks For Watching!Thumbs Up, Share And Subscribe!#samspedy #africanhome #themodel"
PcJ79Yq6hvM,"HIGHLIGHTS | Arsenal vs Southampton (3-3) | Martinelli, Odegaard, Saka",2023-04-21T23:00:08Z,UCpryVRk_VDudG8SHXgWcG0w,Arsenal,17,23.27.04,2904776,37340,3392,False,False,"Two late goals from Martin Odegaard and Bukayo Saka managed to salvage a point against Southampton, but could only ensure we claimed a third draw in succession.We got off to the worst possible start when Carlos Alcaraz netted within the first 30 seconds, and then on 14 minutes Theo Walcott came back to haunt his former club to hand us a mountain to climb.Gabriel Martinelli’s 15th goal of the season reduced the arrears before half-time, however Duje Caleta-Car restored the two-goal cushion on 65 minutes and as we entered the final five minutes it looked like a loss was on the cards.However the skipper fired in from range before Saka pounced to prod home a loose ball in the final minute of normal time to grab a share of the spoils in unlikely circumstances.Things started to go wrong just 27 seconds into the game when Aaron Ramsdale attempted to pass out from the back but didn’t spot Alcaraz, who snuck in to intercept, control and fire the ball into the bottom corner to stun the home crowd.Their shock quickly turned to encouragement as they tried to rally the players and some direct running by the electric Martinelli led to chances for Odegaard and Oleksandr Zinchenko who failed to hit the target, but the visitors piled further early misery on us by moving 2-0 ahead.Alcaraz was again involved, picking the ball up in the middle and feeding it into the path of Walcott, who did what he did so often in our colours by tucking the chance away first-time into the bottom corner and put us deep in trouble.We needed a quick response, and it arrived six minutes later as Martinelli gave us a lifeline. Saka tricked his way past Romain Perraud and did well not only to keep the ball in play, but find our top scorer who produced some great movement to get free and flash home a volley that reignited our chances.We couldn’t afford any further mishaps and only a double save by Ramsdale to deny Mohammed Elyanoussi and Alcaraz kept the deficit at one, but as a frantic opening quarter began to settle, we kept probing in and around the visitors’ area and Gabriel would head over on the stroke of half-time.Then in stoppage-time Ben White flicked a Saka corner goalwards which was brilliantly cleared off the line by the back-peddling Alcaraz, and then Gabriel Jesus saw an attempt blocked in the box as we went into the break down, but not out.At half-time Ruben Selles tightened things up by moving to a five-man defence, and that saw our opportunities dry up. With it being hard enough to score once to grab a draw, a hammer blow to our title chances arrived midway through the second half when the Saints added their third.On a rare foray forward in the second half, James Ward-Prowse swung over a corner which was flicked on by Armel Bella-Kotchap, and Calta-Car headed the ball past Ramsdale to dampen the mood.A golden chance fell to Jesus straight away when he was picked out in space at the far post by compatriot Martinelli but he couldn’t keep his attempt down, and as was the story after the break we couldn’t find a way through a stubborn Southampton defence, despite plenty of pressure.With three minutes to play, we managed to claw our way back into contention when Odegaard played a one-two with White and bent the ball home from the edge of the box to make it 3-2, and incredibly two minutes later we got ourselves level.Reiss Nelson picked up the ball in a dangerous position on the left and fired towards the bottom corner. Gavin Bazunu did well to get down low and keep it out, but Saka tucked home the rebound to get the Emirates rocking.Eight minutes of stoppage time provided even more noise, and we were fractions away from completing an incredible comeback when Leandro Trossard let fly from range and struck the crossbar, meaning there wasn’t quite to be a Bournemouth-esque ending this time as we were forced to settle for a point.#arsenal Enjoy match highlights, training and behind the scenes to get closer to the likes of Emile Smith Rowe, Bukayo Saka, Vivianne Miedema, Leah Williamson,Gabriel Jesus, Alex Zinchenko, Takehiro Tomiyasu, Kim Little, Gabriel Martinelli, Beth Mead, Aaron Ramsdale, Ben White, and more.Subscribe to the Official Arsenal YouTube Channel: https://arsn.al/youtubeFollow us on Facebook: https://arsn.al/facebookFollow us on Twitter: http://arsn.al/twitterFollow us on Instagram: http://arsn.al/instagramFollow us on TikTok: http://arsn.al/tiktok"
EGZC231euVs,SO GOOD they got Bruno's Golden Buzzer MID-PERFORMANCE | Auditions | BGT 2023,2023-04-15T20:04:35Z,UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,24,23.27.04,6131919,152162,12996,False,False,Even a Golden Buzzer won't stop Ghetto Kids from dancing!Bruno Tonioli just couldn't resist pushing his Golden Buzzer for these inspirational kids.See more from Britain's Got Talent at http://itv.com/BGTSUBSCRIBE: http://bit.ly/BGTsubFacebook: http://www.facebook.com/BGTTwitter: http://twitter.com/BGTInstagram: https://www.instagram.com/bgt/TikTok: https://www.tiktok.com/@bgt
xnQJ6QhrWkY,Citizen TV Live,2023-04-03T22:20:32Z,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,24,23.27.04,9380013,20971,4,False,False,#CitizenTV #News #Kenya
Q8k-WYA1rVY,Chelsea 0-2 Brentford | Another Three Points at the Bridge! 🔥 | Premier League Highlights,2023-04-26T23:00:09Z,UCAalMUm3LIf504ItA3rqfug,Brentford Football Club,17,23.27.04,577427,8115,215,False,False,A goal in each half saw #brentfordfc  win at Stamford Bridge for the second year running and ended a six-match winless #PremierLeague run for Thomas Frank’s Bees.Chelsea dominated possession but were undone by goals late in each half. The first came when Cesar Azpilicueta turned Zanka’s near-post flick-on into his own net eight minutes before the break.Click the like and subscribe buttons if you would like to see more!FOLLOW us on:TWITTER 👉 https://twitter.com/brentfordfc​FACEBOOK 👉 https://facebook.com/brentfordfootbal​lclubINSTAGRAM 👉 https://www.instagram.com/brentfordfc​TIKTOK 👉 https://www.tiktok.com/@brentfordfcLINKEDIN 👉 https://www.linkedin.com/company/brentford-football-club/
xZk8Y_Cv9BY,FULL PENALTY SHOOTOUT | Brighton v Manchester United | Semi-Final | Emirates FA Cup 2022-23,2023-04-24T11:00:41Z,UCChcWqwYXCEs657MQ00qVWA,The Emirates FA Cup,17,23.27.04,2662067,37626,1310,False,False,Follow @EmiratesFACup on Twitter for in-game highlights and match updates!https://twitter.com/emiratesfacupSubscribe:https://www.youtube.com/thefacupTo find out more about The FA Cup visit:https://www.TheFA.com/EmiratesFACupThe FA Cup on Facebook:http://www.facebook.com/TheFACupThe FA Cup on Instagram:http://www.instagram.com/emiratesfacup/The FA Cup on Tiktok:https://www.tiktok.com/@emiratesfacup
Xlb1s3yKhvE,HIGHLIGHTS: West Ham 1-2 Liverpool | Gakpo & Matip complete comeback in the Capital,2023-04-26T23:00:11Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,23.27.04,1524197,36437,917,False,False,"Watch highlights from Liverpool's away victory over West Ham at the London Stadium.Never miss a moment, and get full-match replays of every Liverpool game, only on LFCTV GO, and get it FREE for a month, use code GOFREE23. Visit https://bit.ly/3dmZQC9Enjoy more content and get exclusive perks in our Liverpool FC Members Area, click here to find out more: https://www.youtube.com/LiverpoolFC/joinSubscribe now to Liverpool FC on YouTube, and get notified when new videos land: https://www.youtube.com/subscription_center?add_user=LiverpoolFC#Liverpool #LFC"
Qshpm6UF_zk,GHARAMA - Guardian Angel FT. Rose Muhando  (Official video),2023-04-20T07:01:52Z,UCdPgo0qkTA5-PKq3YwRk5Gw,Guardian Angel Global,10,23.27.04,362825,15415,2213,False,False,"Guardian Angel performing Gharama featuring Rose Muhando.Executive Producers : Peter Audiphaxad OmwakaAudio Producer : Vicky Pon DisEnjoy Guardian Angel Other Songs:Ni Wewe ft. Esther Wahome ► https://youtu.be/BFSbhPZRppkWema Wako ft. Baraka ► https://youtu.be/4MPHaO5xQ0AHadithi ► https://youtu.be/Jkyz9QVZ5x8Utafurahi ► https://youtu.be/bHI5zJC2A0YWakati Wa Mungu ► https://youtu.be/SwyIiHun1osTaunet Nelel Cover ► https://youtu.be/G_kb9VkTPLYSwadakta ► https://youtu.be/66mp3pkyD-sNadeka ► https://goo.gl/5Y273n Watch All Guardian Angel Music Videos: https://goo.gl/2gaxFmGuardian Angel Live Performances: https://goo.gl/7UeUbAGuardian Angel Non Stop Mix ► https://youtu.be/Pa3tYJ3InvoFollow Guardian Angel  :Instagram:       https://www.instagram.com/guardianang...Facebook:        https://facebook.com/guardianglobal/Twitter:            https://twitter.com/GuardianAngelK/Website:          https://guardianangelglobal.comOfficial Artist Channel of Guardian Angel, Subscribe for more : https://goo.gl/7CvVgW#Gharama  #GuardianAngel"
T4VKSx0-C5M,AFRICAN HOME: THE MODEL,2023-04-16T16:59:05Z,UCUocOQtoaHPuT0K8lME559A,SamSpedy,23,23.27.04,1370786,41728,2678,False,False,"In This Episode, Ojo Got A Job At A Modelling Company, But Has To Undergo Grooming For Three Days. How Did His Parents React To The Grooming? Find OutSECOND CHANNEL - https://www.youtube.com/channel/UCEuMxZxgHqrVXzwd5julx8QFollow me on Instagram: https://www.instagram.com/samspedy/https://linktr.ee/SamSpedySong Store LinksAfrican Home PandemoniumiTunes: http://itunes.apple.com/album/id1530382366?ls=1&app=itunesApple Music: http://itunes.apple.com/album/id/1530382366Spotify: https://open.spotify.com/album/0nJNPynLV5OCZ0ZIREVc8OAfrican Home WahalaApple Music:https://music.apple.com/ua/album/african-home-wahala/1623310357?i=1623310366Spotify: https://open.spotify.com/track/4Wrvda3w8hP0XMkFXOpVKH?si=86545e1c4b8d44c0Thanks For Watching!Thumbs Up, Share And Subscribe!#samspedy #africanhome #themodel"
Iaw5c8u1fcY,7. Bensoul x Bien - Navutishwa (Official Audio),2023-04-19T21:49:32Z,UCCe1fW83L5lfTfUPS11Py1Q,Bensoul,10,23.27.04,134992,4522,441,False,False,"My debut album 'Lion of Sudah' Out Now: https://africori.to/thelionofsudahWritten and Performed by Bensoul & Bienaime AlusaProduced by So Fresh & Hendrick SamExtra BGVs by Mordecai Dex, Okello Max, Watendawili ( Ywaya Tajiri & Israel Onyach)Guitars by Fancy Fingers & KabasekeMixed and Mastered by Hendrick SamAlbum Artwork By: Kidd Volt Animation By: Pete Designs Video Edited By: GWAC Visuals@BienOfficial © 2023 Sol Generation Records Distribution by Africori: http://www.africori.com#Bensoul #LionOfSudah #Bien #Navutishwa"
gMq-I0dejjE,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),2023-04-14T16:00:09Z,UCCdbL-yl7Qa_vurbYWdn5SA,IceSpiceVEVO,10,23.27.04,27634704,921125,63058,False,False,"Watch the official video for Ice Spice Princess Diana” Feat. Nicki MinajStream // Download Ice Spice's new single Princess Diana here: http://IceAndNicki.lnk.to/PDRFollow Ice Spice Everywhere:Facebook: https://www.facebook.com/icespicemusic1/ Twitter: https://twitter.com/icespicee_ Instagram: https://www.instagram.com/icespice TikTok: https://www.tiktok.com/icespiceeStream Ice Spice Everywhere:Spotify: https://open.spotify.com/artist/3LZZPxNDGDFVSIPqf4JuEf?si=ICdy4wAfSKuQsqSVbrpluwApple Music: https://music.apple.com/us/artist/ice-spice/1552372505 Soundcloud: https://on.soundcloud.com/k3r8E Subscribe to Ice Spice's YouTube here: https://www.youtube.com/channel/UCJTqwQj5iTHYrko04PbGI9wMusic video by Ice Spice performing Princess Diana. 10K Projects/Capitol Records; © 2023 Dolo Entertainment, Inc., under exclusive license to UMG Recordings, Inc.http://vevo.ly/IgWlO5"
tgDDulnGMzM,TT Comedian BECOMES A MUSLIM BROTHER Episode 129,2023-04-23T12:30:09Z,UCXxrjCtnluGtthoTg5jrlNQ,TT Comedian,23,23.27.04,86804,1261,186,False,False,"TT Comedian_ Kenya's youngest Comedian.It's about: Comedy Laugh's.For Bookings/Enquiries: +254 738 712728, comedianttke@gmail.comFB: https://www.facebook.com/ttComedianKenyaIG: https://www.instagram.com/ttcomedian/Twitter: https://twitter.com/ComedianTt#TTcomedian #tt #LadhayamtaTv @chikunde254 @ TT Comedian"
9_BZ57J2JyM,HIGHLIGHTS: Leeds United 1-6 Liverpool | Salah & Jota double in emphatic display!,2023-04-17T23:00:05Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,23.27.04,4262253,80626,2220,False,False,"Watch all the goals from Elland Road, where Cody Gakpo & Darwin Nunez scored either side of a Diogo Jota & Mo Salah brace to give the Reds a big Premier League victory.Never miss a moment, and get full-match replays of every Liverpool game, only on LFCTV GO, and get it FREE for a month, use code GOFREE23. Visit https://bit.ly/3dmZQC9Enjoy more content and get exclusive perks in our Liverpool FC Members Area, click here to find out more: https://www.youtube.com/LiverpoolFC/joinSubscribe now to Liverpool FC on YouTube, and get notified when new videos land: https://www.youtube.com/subscription_center?add_user=LiverpoolFC#Liverpool #LFC"
IhNuqGJhuJs,Stephen Kasolo - Njooni Muone (Official Video) for Skiza sms (Skiza 5297351) to 811.,2023-04-16T15:09:32Z,UCcEIuIasgNTRoxjk5lI_t6A,Stephen Kasolo,10,23.27.04,376607,0,1027,False,True,#StephenKasolo #NjooniMuone #ngommagospelmusic ©2023 Administered by Ngomma VAS Limited.
QZLxVvLyKTo,Lewis Capaldi - Wish You The Best (Official Video),2023-04-14T16:00:30Z,UCp-IaqOaxH7OLYFb9FEHK2A,LewisCapaldiVEVO,10,23.27.04,5362664,170820,8958,False,False,"Listen to my new single ‘Wish You The Best’ here:https://lewiscapaldi.lnk.tt/WYTB  Pre-order my new album ‘Broken By Desire To Be Heavenly Sent’ here:https://lewiscapaldi.lnk.tt/BBDTBHS    Cast:John - David BradleyCraig - Tom LewisWillow - WinnieCrew:Writer & Director: Phil BeastallProducer: James WhitehillPA: Jessica WhitehillCasting Director: Rae Hendrie1st AD: Dom AsbridgeDOP: Matt GentlemanEditor: Paul MullerColourist: George Kyriacou, Black Kite Studios1st AC: Ben Sansom2nd AC: Luke FlahertyCostume Designer: Alice Rose LewisMake up & Hair: Grace BrownDIT: Louis WeinzweigGaffer: Harrison NewmanSpark: Joe KennedyProduction Co-ordinator: Laurie JohnsonLocation Manager: Joe HargreavesRunner: Andrew CurtisRunner: Harry CookeUnit stills & BTS: Dames MayCommissioner: Caroline ClaytonLabel Representatives: Rory Dewar & Jamie GlydonMedic: Les SpiteriCinetrike: Chris Wilkinson, Uppercut ProductionsCinetrike Operator: James MarkwickDog supplied by Adrienne Thomas at Dogs On Camera Handled by Molly Davidson. Owned by Dawn Inett & Molly Davidson. Follow Lewis Capaldi for moreInstragram: https://www.instagram.com/lewiscapaldi   Facebook: https://www.facebook.com/lewiscapaldi/   TikTok: https://www.tiktok.com/@lewiscapaldi   YouTube: https://www.youtube.com/c/lewiscapaldi?sub_confirmation=1Twitter: https://twitter.com/lewiscapaldi   Website: https://www.lewiscapaldi.com/  I miss knowing what you're thinking And hearing how your day has beenDo you think you could tell me everything darling? But leave out every part about him Right now you're probably by the oceanWhile I’m still out here in the rain With every day that passes by since we've spoken It’s like Glasgow gets farther from LAMaybe it's supposed to be this way But oh my loveI wanna say I miss the green in your eyesAnd when I said we could be friends guess I liedI wanna say I wish that you never leftOh but instead I only wish you the best I wanna say without you everything’s wrong And you were everything I need all alongI wanna say I wish that you never leftOh but instead I only wish you the best Well I can’t help but noticeYou seem happier than ever now And I guess that I should tell you I’m sorryIt seems I was the problem somehowMaybe I only brought you downBut oh my loveI wanna say I miss the green in your eyesAnd when I said we could be friends guess I liedI wanna say I wish that you never leftOh but instead I only wish you the best I wanna say without you everything’s wrong And you were everything I need all alongI wanna say I wish that you never leftOh but instead I only wish you the best But oh my loveOhhhhhOh my loveOhhhhhWish I could say it's something I really mean But I want you happy whether or not it's with me I wanna say I wish that you never leftOh but instead I only wish you the best I wanna say without you everything’s wrong And you were everything I need all alongI wanna say I wish that you never leftOh but instead I only wish you the best #WishYouTheBest #LewisCapaldi"
0cHVws5vxGQ,Vinya Wa Kumanya -Ev. John Kay. sms the word skiza 6980863 to 811,2023-04-23T14:52:06Z,UCwL6cesRr2srp-J0rhpPuSA,Ev. John Kay Official,10,23.27.04,58476,3387,962,False,False,
PjX4fx81aV8,How I Made Her Phone And Money Disappear #shorts,2023-04-17T16:02:34Z,UC3xgevNpGmAgWpdjtTXR20w,Wian,24,23.27.04,35652615,1363700,1668,False,False,
SvGW1oT4two,HIGHLIGHTS: Liverpool 3-2 Nottingham Forest | Jota brace & Salah winner in five-goal thriller,2023-04-22T21:00:08Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,23.27.04,2671563,45173,1292,False,False,"Watch highlights from Liverpool's Premier League fixture at Anfield as they hosted Nottingham Forest.This video is available with subtitles in Portuguese and five other languages.Never miss a moment, and get full-match replays of every Liverpool game, only on LFCTV GO, and get it FREE for a month, use code GOFREE23. Visit https://bit.ly/3dmZQC9Enjoy more content and get exclusive perks in our Liverpool FC Members Area, click here to find out more: https://www.youtube.com/LiverpoolFC/joinSubscribe now to Liverpool FC on YouTube, and get notified when new videos land: https://www.youtube.com/subscription_center?add_user=LiverpoolFC#Liverpool #LFC"
GGBy50KtvRk,Tipping A Waitress A Car,2023-04-22T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,23.27.04,31736198,2394370,9664,False,False,New Merch - https://shopmrbeast.com/SUBSCRIBE OR I TAKE YOUR DOG╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ ╠╗║╚╝║║╠╗║╚╣║║║║║═╣╚═╩══╩═╩═╩═╩╝╚╩═╩═╝----------------------------------------------------------------follow all of these or i will kick you• Facebook - https://www.facebook.com/MrBeast6000/• Twitter - https://twitter.com/MrBeast•  Instagram - https://www.instagram.com/mrbeast•  Im Hiring! - https://www.mrbeastjobs.com/--------------------------------------------------------------------
zm5bL2v876s,Hit ❤️ for Real Dance #michaelmejeh #dance #youtubeshorts @caciliaofficial4619,2023-04-02T22:05:38Z,UCsNBjnhHc7xW5MDFbMqRs8g,Michael Mejeh,20,23.27.04,45520171,2200955,9493,False,False,
suT0dLUZpOk,HIGHLIGHTS | LEEDS UNITED 1-1 LEICESTER CITY | PREMIER LEAGUE | SINISTERRA SCORES,2023-04-25T22:45:02Z,UCyQcJHDN4uYfPa1DHzKVSnw,Leeds United Official,17,23.27.04,211693,2147,181,False,False,"Watch highlights from Leeds United’s Premier League match against Leicester City at Elland Road. Presented by Astonish. #leedsunited #premierleague #Football Get exclusive Leeds United video content first - download the Official App: https://linktr.ee/leedsunitedIf you enjoyed this video don't forget to subscribe.If you want to keep up with everything Leeds, go check out our other pages https://www.facebook.com/LeedsUnited/https://twitter.com/LUFChttps://www.instagram.com/leedsunited/?hl=enhttps://www.leedsunited.com"
rjQI_5Yv-54,Raphael Tuju reveals how Raila votes were tampered with to increase Ruto tally,2023-04-23T15:05:33Z,UCNukoCRcXX1RVVswX36-R9A,KENYA News MEDIA,25,23.27.04,54035,332,19,False,False,Subscribe HERE https://www.youtube.com/c/KENYANewsMEDIA?sub_confirmation=1Raphael Tuju reveals how Raila Odinga votes were tampered with to increase William Ruto tally by Wafula Chebukati.Thanks for visiting KENYA News MEDIA YouTube channel. #KENYANewsMEDIA
JgsWVQpya6E,SHIRT CHALLENGE ⚽️🤔,2023-04-21T15:25:00Z,UClk5AUhvoAzN41inRfdLPYw,Celine & Michiel,24,23.27.04,14109983,602357,448,False,False,:)
td90Zm2durY,When the Man City goalkeeper needs to SPRINT!,2023-04-19T15:34:02Z,UCG5qGWdu8nIRZqJ_GgDwQ-w,Premier League,17,23.27.04,8186009,116183,321,False,False,"When the Manchester City goalkeeper needs to sprint! Former Man City shot-stopper Joe Hart sprints to stop a Wayne Rooney shot in a Premier League match against Manchester United (2008/09).Premier League shorts 👇https://youtube.com/playlist?list=PLQ_voP4Q3cfcaScJRgWgLgSX3FNMdZC6wSubscribe to the official Premier League YouTube channel: http://preml.ge/PremierLeagueYouTube Premier League website: http://preml.ge/PremierLeagueWebsiteFollow the Premier League on Instagram: http://preml.ge/PremierLeagueInstagramFollow the Premier League on Twitter: http://preml.ge/PremierLeagueTwitterLike the Premier League on Facebook: http://preml.ge/PremierLeagueFacebookPlay Fantasy Premier League: http://preml.ge/FantasyPremierLeagueTo license Premier League match footage: https://imgreplay.com/contact#Shorts #PremierLeague #Football #SoccerYour safety onlineVisit the Child Exploitation and Online Protection website for confidential support if something has happened online which has made you feel unsafe, if you are worried about someone else or to report online abuse. (https://www.ceop.police.uk/safety-centre)You should contact the Police by calling 999 if you or anybody else is in any sort of danger.Visit CEOP’s Thinkuknow website for advice and guidance on safe surfing and staying safe online for example when using mobile phones, blogs, social media, chatting, online gaming and emailing. (https://www.thinkuknow.co.uk)You can also visit the Premier League safeguarding page for more information. (https://www.premierleague.com/safeguarding)"
FYg4fJ0RaGY,NIMO x WAPENDWA MUZIKI - NITETEE (OFFICIAL MUSIC VIDEO) SMS: Skiza 6981429 to 811,2023-04-20T11:00:09Z,UC9F_JVdZOPoMR_Aa4sFe6Bw,Nimo Gachuiri,22,23.27.04,94765,9102,1122,False,False,Music Video by Nimo performing Nitetee featuring @Wapendwamuziki .(c) 2023 Starborn Empire.Stream 'Nitetee' on all digital stores:https://onerpm.link/845886211621Performed and Written by: Nimo and Wapendwa Muziki. Audio produced by: Produza PauloVideo directed by: Sofly ThedirectorMake-up: Make up by Sharon Dressed by : Annes Fashion Line / Gingerly  Designs And Fabric.
oZgfEHIHVoA,How I Put A Key Inside A Bottle 😱 #shorts,2023-04-21T16:26:10Z,UC3xgevNpGmAgWpdjtTXR20w,Wian,24,23.27.04,28512742,684740,876,False,False,
